Country_Code,Year,Adjusted net national income per capita (constant 2010 US$),Armed forces personnel (% of total labor force),Computer communications and other services (% of commercial service imports),Consumer price index (2010 = 100),Employment in agriculture (% of total employment),Employment in industry (% of total employment),Employment in services (% of total employment),Fixed broadband subscriptions (per 100 people),Fixed telephone subscriptions (per 100 people),GINI index (World Bank estimate),GNI per capita growth (annual %),Government Budget,High-technology exports (% of manufactured exports),Improved sanitation facilities urban (% of urban population with access),Improved water source urban (% of urban population with access),Income share held by highest 10%,Income share held by lowest 20%,Individuals using the Internet (% of population),Inflation consumer prices (annual %),Informal employment (% of total non-agricultural employment),Interest arrears official creditors (current US$),Interest arrears private creditors (current US$),Interest payments on external debt (% of exports of goods services and primary income),Internally displaced persons new displacement associated with conflict and violence (number of cases),Internally displaced persons new displacement associated with disasters (number of cases),Internet Speed,Labor force participation rate for ages 15-24 female (%) (modeled ILO estimate),Labor force participation rate for ages 15-24 male (%) (modeled ILO estimate),Military expenditure (% of central government expenditure),Mobile cellular subscriptions (per 100 people),Ores and metals exports (% of merchandise exports),Population in the largest city (% of urban population),Precipitation,Prevalence of HIV total (% of population ages 15-49),Retirement Age Men,Retirement Age Women,Share of youth not in education employment or training female (% of female youth population),Share of youth not in education employment or training male (% of male youth population),Terrorism Index,Total debt service (% of exports of goods services and primary income),Total reserves (% of total external debt),Tourist Arrivals,Unemployment with advanced education female (% of female labor force with advanced education),Unemployment with advanced education male (% of male labor force with advanced education),Unemployment female (% of female labor force) (modeled ILO estimate),Unemployment male (% of male labor force) (modeled ILO estimate),Unemployment total (% of total labor force) (modeled ILO estimate),Unemployment youth female (% of female labor force ages 15-24) (modeled ILO estimate),Unemployment youth male (% of male labor force ages 15-24) (modeled ILO estimate),Urban population growth (annual %),Value lost due to electrical outages (% of sales),Vulnerable employment female (% of female employment),Vulnerable employment male (% of male employment),Wholesale price index (2010 = 100),Stability,KNN_Value,LR_Value
AFG,2000,-87.0053082019,-0.253138627547,1.63820449848,10.5219821217,-0.599998474121,1.10000038147,-0.39999961853,0.000138780833,-0.004285381,50,-0.687250145401,428.9509,0.1,31.2,52.2,0,0,-0.001574189333,-1.81232410286,0,0,0,0.25067413627,0,0,428.9509,0.034353256226,0.106460571289,0,0,0.137976802487,-0.329400805166,0,0.1,80,80,0,0,100,0.298910762938,142.575094534822,100,0,0,0,0,0,0.100000143051,0.099999904633,0.666310296616,6.5,79.400001525879,78.799999237061,0,2.2,4,2.2,
ALB,2000,175.70107775,0.014424569418,-9.56628980762,0.03707173,-0.899997711182,1.30000019073,-0.39999961853,0.001215756,0.388652791,31.7,-5.45009819739,1010.0475,0.697374879419,94.8,100,6.35,2.1,0.032660302,-0.339419518,0,526000,2820000,2.029832935561,0,0,1010.0475,-1.29616165161,-0.613800048828,2.71113319178,0.569633989,3.707056524673,0.59330424194,0,0.1,58,53,3.07000007629,2.37000007629,353507,4.477625298329,57.583690272119,353507,1.22727272727,3.16666666667,-0.5,0.299999237061,-0.099999427795,1.70000076294,-14,-0.013505108131,13.7,68.600002288818,59.500001907349,0,5.1,6,5.1,
DZA,2000,447.280832354,-0.059920397285,6.93212555828,0.23808912,0.699998855591,-0.60000038147,-0.099998474121,0.0109079532,0.437134299,27.6,0.107348369571,333.6271,4.166833432306,91.2,93.2,1.76153846154,0.723076923077,0.292181836,-2.306347945,0,0,0,1.845653298321,0,0,333.6271,-0.630414009094,-1.3888130188,16.535524116642,0.040920735,0.252778134896,-0.163498867689,0,0.1,60,60,-3.62727286599,-1.01818180084,1770,11.910233150315,53.209335926543,1770,2.73333326976,3.79999987284,7.5,3.20000076294,3.89999961853,10.7000045776,6,-0.082689407943,0,38,31.499999046326,0,4.5,6,4.5,
AGO,2000,91.2841193482,-0.211412232424,4.07641861408,2.224505707,-0.39999961853,-2.09999847412,2.5,0.005444619375,-0.031316082,42.7,0,192.5509,0.1,73,60.3,3.23,0.54,0.033081475,76.8009692,13.1999994914,252365000,621747000,2.320003016166,0,0,192.5509,-0.223876953125,-0.337509155273,29.283543153747,0.007684208,2.67542615278,0.440543506368,0,1,80,80,6.38333320618,3.73333326976,100,20.929429020379,12.272402884721,100,0.530769238105,0.969230798575,0,0,0,0,0,0.180038618469,3.7,76,54.499999046326,0,4.4,6,4.4,
ARG,2000,-162.307815104,-0.006756512373,1.47615580713,6.594375,-0.100000023842,-0.900001525879,1,0.084063611333,1.61011999,51.1,2.65197325994,1259.8375,9.351856305575,92.5,98.1,0.7,-0.3,3.75420113,0.230956058,-9.93333307902,3000,10316000,30.735453493186,0,0,1259.8375,0.331974029541,-0.014904022217,6.824875574053,7.0404166,2.96449140896,0.145655673666,0,0.3,80,80,-4.29999987284,-2.68333339691,961154,64.282410752991,16.761049224348,961154,-3.25,-3.45000004768,0.699999809265,1.0999994278,0.89999961853,6.39999961853,3.19999885559,-0.00829301654,1.4,20.699999213219,24.300000369549,0,5.8,6,5.8,
ARM,2000,612.846417354,-0.935991402478,-8.63755241304,-0.51813474,-0.20000076294,-1.29999923706,1.40000152588,0.000065360333,-0.25008092,36.2,2.60332931073,365.2875,4.726627319225,95.4,98.5,-0.25,0.05,0.329732265,-1.439129529,-3.69374990463,6149000,0,3.54016988334,0,0,365.2875,0.10009765625,-0.096412658691,26.9520807935,0.304663498,26.990699147497,0.285090790287,0,0.1,63,63,-3.43846159715,-3.03076934814,4423,9.109004639321,31.119954785565,4423,2.27777777778,2.90000004239,0.300001144409,0.500000953674,0.299999237061,0.29999923706,-0.300001144409,-0.001250750487,1.8,46.799999237061,41.900001525879,0,5.3,6,5.3,
AUS,2000,678.676325588,-0.059501252782,-1.27847783395,3.18655852,0,0.599998474121,-0.600006103516,0.210051796,0.88802667,33.5,-1.00895625048,2115.1855,15.359944646727,100,100,8.36666666667,2.46666666667,5.97233171,3.009754799,0,0,0,0.1,0,0,2115.1855,0.467636108398,-0.054847717285,7.879020052376,11.26735286,16.645842988833,-0.049637053425,0,0.1,65,62,-1.14545458013,0.936363653703,559900,0,0,559900,-1.95000004768,-1.79999995232,-0.599999904633,-0.599999904633,-0.599999904633,-1.19999980927,-0.800000190735,0.046832594457,0,9.300000429153,14.900000214577,0,8.8,10,8.8,
AUT,2000,880.106633492,-0.00298624007,-6.42839787532,1.93183265,-0.199999809265,0.300001144409,-0.099998474121,1.739607279,0.64700111,29.8,1.51776859286,3438.4029,14.597816697976,100,100,-3.96666666667,1.43333333333,10.68581585,1.832776122,0,0,0,0.1,0,0,3438.4029,-2.50258255005,-1.75800323486,2.114816739999,23.19145258,2.674069581668,-0.051128651343,0,0.1,65,60,-1.58333333333,-1.63333336512,1970.13,0,0,1970.13,-0.300000190735,0,-0.200000286102,0.10000038147,0,-0.800000190735,1.40000009537,0.045899595597,0,9.400000095367,7.799999833107,0,9,10,9,
AZE,2000,-64.9938945462,0.014135396765,-14.5328584131,0.86819965,-1.29999923706,-0.300000190735,1.59999847412,0.00301940825,0.799090966,36.5,-0.565860677417,317.4203,4.589822662998,77,88.3,-9.83333333333,2.46666666667,0.048528634,10.330173048,0,0,0,2.993907585734,0,0,317.4203,-1.18063735962,-2.92885971069,14.2508604043,0.581327944,1.675080794754,-0.238403346586,0,0.1,62,57,0,0,14472,6.35106013528,42.871559756308,14472,0.544444455041,-0.488888899485,9.69999980927,3.90000009537,6.60000038147,22.0999994278,10.8000011444,0.517360527538,1.8,67.199996948242,68.399998426437,0,4.2,6,4.2,
BHR,2000,2054.5471726,-0.321726229401,-0.812184322111,-0.59229355,0,1,-1,0.056100259333,-0.21604265,50,-0.084468642455,691.7815,0.036057195567,99.1,98.9,0,0,1.433374428,0.582735019,0,0,0,0.1,0,0,691.7815,0.513593673706,0.126304626465,19.905632556768,9.96177287,16.171774669641,-0.757212180961,0,0.1,80,80,0,0,100,0,0,100,0,0.192307692308,0,0,0,0,0,0.659548423266,0,0.500000007451,1.799999952316,0,5.8,6,5.8,
BGD,2000,16.1307542973,-0.12898248949,1.79147291488,1.16473177,-0.20000076294,0,0.300001144409,0.003316102667,0.037984355,33.4,0.677015791435,220.3875,0.213022146745,51.1,83.2,13.95,4.3,0.034869016,-3.898439689,7.31666692098,0,0,2.709783705953,0,0,220.3875,0.16202545166,-0.455169677734,22.945158633,0.096107071,0.014137137978,0.197692517386,0,0.1,57,57,8.12857164655,0.957142829895,100,10.604266973782,9.714826622817,100,0.600000023842,0.699999988079,-3.00000023842,-0.299999952316,-1.29999995232,0.599999427795,1.30000019073,-0.073409694036,10.6,90.999998092651,79.5,-2.01082987029,3.1,4,3.1,
BLR,2000,155.76367492,-0.286925309863,-5.52183110486,10.072510694,-0.199999809265,-0.600002288818,0.700000762939,0.00005074675,1.27691985,31.2,2.15335202054,788.2304,3.829054522131,93.9,99.7,-0.2,0.3,1.365516881,-125.0585149,0,12186000,1645000,1.815508588393,0,0,788.2304,-0.164009094238,-0.438293457031,5.315616196879,0.260689594,0.752903742681,0.151158686616,0,0.1,60,55,1.25454547188,0.954545454545,90811,5.508955962395,13.376698102582,90811,0,0,0.199999988079,0.099999964237,0.099999964237,0.299999952316,0.199999928474,0.050244641333,0.7,2.599999904633,3.799999952316,0,5.8,6,5.8,
BEL,2000,914.831046691,-0.065115172909,-10.730777781,2.02036644,-0.500000119209,0,0.5,1.179901508,0.1470683,30.5,0.407640497768,4020.542,10.731110621877,99.5,100,-4.18333333333,1.4,15.65947723,1.426218577,0,0,0,0.1,0,0,4020.542,2.27334022522,2.86924362183,3.168685159889,23.70705428,2.826634299214,0.103698396975,0,0.1,60,60,1.46666669846,1.38333336512,100,0,0,100,-0.700000047684,-1,-1.89999961853,-2.19999980927,-2.00000047684,-4.29999923706,-9.80000114441,0.007095720336,0,11.5,11.600000023842,0,8.5,10,8.5,
BEN,2000,27.7880153405,-0.008157231112,5.04702472892,2.93287369,-0.400001525879,-0.199999809265,0.600002288818,-0.00007080475,0.095478977,38.6,0.306380708159,346.7135,0.104314163795,25.3,78,6.22,1.4,0.07034111,3.83868153,7.4461540809,1131000,0,3.90521303088,0,0,346.7135,0.314426422119,-2.33200073242,3.11027195465,0.690447841,0.067961834544,-0.41348119469,0,1.4,80,80,0.400000015895,0.183333337307,100,13.644779175549,0,100,0.838461509118,0.930769260113,-0.100000023842,0,-0.099999964237,-0.399999976158,-0.099999904633,0.030528214617,6.2,95.500001907349,82.899998664856,0,6.9,8,6.9,
BOL,2000,-34.5768205458,-0.049253295691,-0.743573228485,2.75902802,-0.100002288818,-0.10000038147,0.100002288818,0.00941385325,-0.026505748,63,2.21676598264,304.4375,39.991177217817,49.9,93.1,6.4,-0.5,0.460948398,2.448713721,13.6857147217,2436000,0,11.375170622999,0,0,304.4375,-0.764678955078,-0.148929595947,10.037008582243,1.807418768,24.584735009802,-0.224699934551,0,0.3,80,80,-2.61428560529,-0.785714285714,100,39.843350624291,20.071312285601,100,4.55000019073,5.69999980927,1,0.100000143051,0.5,1.80000019073,0.800000190735,-0.041955791938,4.4,31.000000953674,35.10000038147,0,4.1,6,4.1,
